,id,sighting_date,species,number,latitude,longitude,comments,image_url,sighting_date_datetime,year,month,month_name,week_num
81027,1440618963,2015-08-21,Monarch Fall Roost,25,44.329,-96.642,"Found another small roost in a different location out of the wind around 8:00pm. Cluster was high up on the cottonwood tree, I counted 18 in this grow with more flying around.<p>Editor's note: This site reported roosting in a previous year.",https://journeynorth.org/jnorth/images/userfiles2015/08/1440618963.jpg,2015-08-21,2015,8,August,34
81047,1440623510,2015-08-25,Monarch Fall Roost,2000,44.324,-93.958,"Thousands of butterflies roosting at my parents' farmstead in southern Minnesota. At 7:30 pm they saw thousands and expected more by dark.&nbsp; It is really difficult to tell numbers but would estimate 2000 to 4000.This is the second year in a row they have had a roost. (We used to have roosts all the time when I was a kid, but not for a long time until these past two years.) The monarchs used the same trees both years to roost, but this year there were more trees occupied, including some large spruce trees - as shown in the picture. Since the sun is so low in the sky the colors are funky. The farm is now restored prairie (2nd year) with trees surrounded mostly by giant fields (in soy this year, last year in corn). It's hard to make out the butterflies because they look like leaves- although I am sure they are monarchs.",https://journeynorth.org/jnorth/images/userfiles2015/08/1440623510.jpg,2015-08-25,2015,8,August,35
81100,1440642060,2015-08-26,Monarch Fall Roost,14,44.916,-97.17,"Found 3 groups of monarchs roosting in the shelter belt trees. At 7:30PM  they were roosting and fluttering around, at 8:30 PM it was dusk and they were only roosting and very hard to see~ not moving at all even when I was close.  It was about 68 degrees with a very light south breeze.<p>Editor's note: This site reported roosting in a previous year.",https://journeynorth.org/jnorth/images/userfiles2015/08/1440642060.jpg,2015-08-26,2015,8,August,35
81115,1440671334,2015-08-26,Monarch Fall Roost,1000,44.324,-93.958,"The monarchs are settling in for the night in trees along the road, in one big spruce tree, and along the edge of the grove. It is really difficult to tell numbers but we would estimate 2000 to 4000 last night (8/25), and 1000 - 3000 tonight (8/26).",,2015-08-26,2015,8,August,35
81298,1440726981,2015-08-27,Monarch Fall Roost,20,45.11,-92.55,In the mountain ash tree <p>Editor's note: This site reported roosting in a previous year.,https://journeynorth.org/jnorth/images/userfiles2015/08/1440726981.jpg,2015-08-27,2015,8,August,35
81336,1440775578,2015-08-27,Monarch Fall Roost,25,43.804,-93.828,Small group roosting. Less than 30.  Near area used last year<p>Editor's note: This site reported roosting in a previous year.,,2015-08-27,2015,8,August,35
81349,1440784513,2015-08-25,Monarch Fall Roost,80,44.732,-92.58,"I had many monarchs in my gardens all day feeding. As the sun was lowering in the sky, I watched as they started to flit between the amur maples and spruces - 20 to 30 of them at a time flying overhead. They then started to settle in to the last small patch of sunlight near the top of one of the spruces. I estimated at least 60 in the roost with numerous stragglers in small groups amidst some of the other trees nearby. I raise and release a lot of monarchs each summer, but the previous couple of days I had been releasing at educational events, so I believe that many of these guys were migrating through. I will keep an eye out and hopefully discover more roosts on our property. This was a first! (sorry - no good photos)",,2015-08-25,2015,8,August,35
81406,1440796569,2015-08-28,Monarch PEAK Migration,80,45.11,-92.55,6-7 dozen nectarine on liatris. ,https://journeynorth.org/jnorth/images/userfiles2015/08/1440796569.jpg,2015-08-28,2015,8,August,35
81465,1440813654,2015-08-28,Monarch Fall Roost,15,44.916,-97.17,"Roosting at 8:30 PM.  Wonder why they are always on the same tree, same branch each time I see them? There are about 30 trees in a row, and probably 75 trees in the area and they have always been on the same one.<p>Editor's note: This site reported roosting in a previous year.",https://journeynorth.org/jnorth/images/userfiles2015/08/1440813654.jpg,2015-08-28,2015,8,August,35
81474,1440819610,2015-08-26,Monarch Fall Roost,1000,44.117,-93.998,"At 10:30 this morning (8/27), I stopped at a site where I&rsquo;ve found monarchs in the past, and there they were!  Though it was late morning, many were still roosting. In about the length of a block, there were 8+ clusters of 50+ monarchs among the trees lining a CRP planting.  There were also hundreds (I really can&rsquo;t even estimate how many hundreds) flying and feeding from blazing star and goldenrod.  I had 60 tags with me, and I was done in no time.  I was almost guaranteed to capture one just by swinging my net.  They were so intent on feeding that, not only was netting effortless, I could capture them easily by hand too.  So much fun!    <p>Editor's note: We've re-dated this report from 08/27 to 10/26, the night the roost formed.",https://journeynorth.org/jnorth/images/userfiles2015/08/1440819610.jpg,2015-08-26,2015,8,August,35
81482,1440829491,2015-08-28,Monarch Fall Roost,300,44.529,-94.151,"About 300 monarchs loosely clustered in a clump of tall mostly deciduous trees adjacent to Railroad Ave. in Gaylord, Minnesota,  Lat./Long.:  44.556087 -94.201745 Aug. 28, 2015 4:32 pm SE winds 10-20 MPH<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/9VOHjmY05BE"" frameborder=""0"" allowfullscreen></iframe>",,2015-08-28,2015,8,August,35
81542,1440870033,2015-08-28,Monarch Fall Roost,300,44.544,-94.374,"About 300 monarchs loosely clustered in two small deciduous trees adjacent to Highway 19, 2 miles east of Winthrop, Minnesota Lat./Long.:  44.542860 -94.314613 Aug. 28, 2015 4:53 pm SE winds 5-15 MPH. An acre or so sized meadow adjacent to the cluster trees contained alot of Meadow Blazing Star (Liatris ligulistylis) and Stiff Goldenrod (Oligoneuron rigidum) which the monarchs nectared on earlier in the day.<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/mjhDPnobDSU"" frameborder=""0"" allowfullscreen></iframe>",,2015-08-28,2015,8,August,35
81578,1440886121,2015-08-29,Monarch PEAK Migration,13,44.757,-93.51,"13 moved through in the past hour, stopping for zinnias, joe-pye, and buddliea.  I was only able to tag 3 of them, very ""flighty"".    ",,2015-08-29,2015,8,August,35
81590,1440892474,2015-08-29,Monarch PEAK Migration,250,44.739,-94.286,"About 250 monarchs nectaring in an approx. one acre field of red clover about onemile west of Sumter, Minnesota and adjacent to Highway 212 Lat./Long.:  44.738834 -94.286067 Aug. 29, 2015 12:34 pm <iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/OoPdnTepKok"" frameborder=""0"" allowfullscreen></iframe>",,2015-08-29,2015,8,August,35
81687,1440960537,2015-08-30,Monarch PEAK Migration,100,45.11,-92.55,"Over 100 monarchs feeding on liatris, lantana, butterfly bush and agastache. ",https://journeynorth.org/jnorth/images/userfiles2015/08/1440960537.jpg,2015-08-30,2015,8,August,35
81742,1440984294,2015-08-30,Monarch Fall Roost,20,45.164,-98.013,"caught a few in one spot, the rest were busy flying around in my back yard",https://journeynorth.org/jnorth/images/userfiles2015/08/1440984294.jpg,2015-08-30,2015,8,August,35
81753,1440989596,2015-08-30,Monarch Fall Roost,29,44.916,-97.17,Saw quite a few monarchs during the day today with a few more monarchs roosting tonight.  South wind 15-20 mph.  Humid day with temps in the 80's today and upper 60's tonight.  <p>Editor's note: This site reported roosting in a previous year.,https://journeynorth.org/jnorth/images/userfiles2015/08/1440989596.jpg,2015-08-30,2015,8,August,35
81757,1440992892,2015-08-27,Monarch PEAK Migration,72,45.181,-92.55,6-7 dozen at noon today. They are hanging out all day on the liatris. Front yard and backyard. Little kids come by and count them.  ,https://journeynorth.org/jnorth/images/userfiles2015/08/1440992892.jpg,2015-08-27,2015,8,August,35
81759,1440994143,2015-08-28,Monarch PEAK Migration,200,44.86,-86.042,"Numerous monarchs nectaring on Joe-pye weed along the west shoreline of Little Glen Lake. Interesting to note that the monarchs were (almost) all males. After veiwing the 115 images I took I see only one or two possible females.Any comments on that would be interesting. Weather, mild and breezy with winds from the south. Sunny. ",https://journeynorth.org/jnorth/images/userfiles2015/08/1440994143.jpg,2015-08-28,2015,8,August,35
81878,1441067560,2015-08-31,Monarch Fall Roost,75,44.723,-89.067,It is about 80 degrees today with high humidity. They are roosting in our black locust trees. There are about 50 there and another 25 in some box elders about 200 feet to the east. They are feeding in our alfalfa field. The alfalfa and red clover are at their peak of flowering. About 10 years ago we had about 400-500 in the same trees. We haven't noticed many the last few years. We have been encouraging milkweed plants lately but taking about 2 acres out of production,,2015-08-31,2015,8,August,36
81889,1441072590,2015-08-28,Monarch Fall Roost,100,45.07,-93.3,"For the last 3 days (August 28-31) we have observed more then 100 monarchs in the cedars and ash trees bordering our school nature area. During the day many monarchs are enjoying the blazing star, coneflowers, and sunflowers. ",https://journeynorth.org/jnorth/images/userfiles2015/08/1441072590.jpg,2015-08-28,2015,8,August,35
81905,1441111358,2015-08-31,Monarch Fall Roost,50,41.732,-92.766,A few branches on a large tree.  We were able to net about a dozen and tag.,,2015-08-31,2015,8,August,36
81957,1441134834,2015-08-31,Monarch Fall Roost,30,44.757,-93.51,Small roost area near freeway 169 and Marshall Rd.  Have spotted butterflies last few days feeding on goldenrod in ditch and scattered in trees in that area early a.m.  This morning (9/1) did a quick count of 30 in 4 trees.  ,,2015-08-31,2015,8,August,36
81992,1441146573,2015-09-01,Monarch PEAK Migration,100,45.01,-93.456,"Large amounts of monarch butterflies (and bees) flying about yellow flowers at a park nearby. Hot and humid outside. None of the spotted were tagged, I did not tag any. Butterflies stopping at a flower, staying for about 30 seconds then flying to a different flower.<p>they were seen at one time. My kids saw them at the parks butterfly garden and told us to come to take a look. We watched them for a good hour. I didn't go back this morning (9/2) to see if they were still there. I'm sure we'll look again tonight to see if they are hanging around.",https://journeynorth.org/jnorth/images/userfiles2015/09/1441146573.jpg,2015-09-01,2015,9,September,36
82017,1441163000,2015-09-01,Monarch Fall Roost,50,44.52,-92.546,"A large number of monarchs (20+) have been nectaring in is area for the past week. Tonight there were many more 50+ that I could see. As the sun was setting they were fluttering between several trees looking to settle in for the evening. They did not cluster in one tree, but stayed in the same group of trees.Also observed mating pair yesterday about 4pm and today at about 6:30pm.  ",https://journeynorth.org/jnorth/images/userfiles2015/09/1441163000.jpg,2015-09-01,2015,9,September,36
82018,1441163309,2015-09-01,Monarch PEAK Migration,30,45.32,-92.696,"Traveled south from Osceola to Hudson and back again today (about 60 miles round trip).  Saw approx. 30 monarchs flying, most of them actually flying west.  Wind was mild from the south.Monarchs were flying about 10 feet high, in general.  I have found it more the rule than not that when there is not a tail wind and the monarchs are flying ""directionally"", their movements are westerly.  Temperatures are hot and humid throughout northwest Wisconsin and much of Minnesota. The chrysalides already formed should be yielding their monarchs by the end of the week or soon thereafter.    ",https://journeynorth.org/jnorth/images/userfiles2015/09/1441163309.jpg,2015-09-01,2015,9,September,36
82019,1441164840,2015-09-01,Monarch Fall Roost,200,42.166,-94.513,"Monarchs have been roosting in the trees of our windbreak for several days, including one rain event. More monarchs are roosting each evening. A field of clover and alfalfa surrounds the orchard.",https://journeynorth.org/jnorth/images/userfiles2015/09/1441164840.jpg,2015-09-01,2015,9,September,36
82024,1441194426,2015-09-01,Monarch PEAK Migration,20,44.627,-93.24,"Counted about 20 Monarchs in the yard mid morning mostly visiting Mexican Sunflowers and zinnias. Monarchs were in the yard all day but difficult to count as they were flying between flower beds. It was a hot, humid day with no wind. Between 6:50 and 7:00 pm I observed a few butterflies settling in on a mature Silver Maple tree and on a mature oak tree.      ",,2015-09-01,2015,9,September,36
82036,1441205916,2015-09-01,Monarch Fall Roost,200,44.324,-93.958,"Last night (9/01) my dad said they still had 100-200 individuals, and this this is much reduced from the night before. When I was young - we often had butterflies stop over in these trees, but then it stopped.  It is interesting that these last two years they have roosted here again.Ill check in again tonight (9/2/15)",,2015-09-01,2015,9,September,36
82051,1441208896,2015-09-02,Monarch PEAK Migration,150,43.342,-93.911,Last 2 days Monarchs coming in.  Beautiful to see so many flying in our grove and yard,,2015-09-02,2015,9,September,36
82083,1441219057,2015-09-01,Monarch Fall Roost,25,44.911,-93.887,"Noticed Monarchs flying and roosting in trees in backyard last night around 7pm, Sept 1 2015. Overnight temp: guessing between 50 and 60 F. The trees they were roosting on are fairly well sheltered from the wind. Box elder trees with a hill to the east. They were on the side facing the hill.<p>Update 9/4/2015. Checked at 7pm and the Monarchs were beginning to roost. Counted around 30. Temperature at that time 85 F.<p><center><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/RmkyPFGiYiM?rel=0&amp;amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe><center>",,2015-09-01,2015,9,September,36
82114,1441227076,2015-09-02,Monarch PEAK Migration,50,46.926,-96.85,"Many monarch butterflies staying close to the Microsoft campus in Fargo, North Dakota. There are many plants and flowers in the area, but a very unusual sighting for us here.",,2015-09-02,2015,9,September,36
82123,1441227795,2015-09-02,Monarch PEAK Migration,50,41.974,-91.658,"Once again the butterflies were too numerous to count at Brucemore in Cedar Rapids, Iowa.  Probably more than 50 on a row of butterfly bushes behind the stables and in a zinnia garden.  Amazing!",https://journeynorth.org/jnorth/images/userfiles2015/09/1441227795.jpg,2015-09-02,2015,9,September,36
82192,1441234424,2015-09-02,Monarch Fall Roost,23,40.314,-89.17,We have tons of monarchs flying around our farm for the past two days.  We see them about 5:30 pm,,2015-09-02,2015,9,September,36
82238,1441243553,2015-09-02,Monarch Fall Roost,30,43.086,-91.423,"All 30 were in the roosting trees, many small groups and one larger group of 9.  Tagged 16.  This is good news from the past few years but really slow compared years previous to that.  Caught one previously tagged monarch indicating they are foraging during the day and some are coming back to roost again.  Used to be common, this is the first in 5 years.",https://journeynorth.org/jnorth/images/userfiles2015/09/1441243553.jpg,2015-09-02,2015,9,September,36
82303,1441286608,2015-09-01,Monarch PEAK Migration,30,45.6,-94.25,"In just the first 200 yards of our walking path around the lake, many butterflies were observed flying and most were on a purple thistle or a yellow flower weed. Some were landing in tree leaves. This could possibly be a roosting area. ",,2015-09-01,2015,9,September,36
82324,1441292037,2015-09-03,Monarch Fall Roost,50,45.164,-98.013, Second group of the season moving through.,,2015-09-03,2015,9,September,36
82327,1441293378,2015-09-03,Monarch PEAK Migration,35,44.986,-93.27,"While releasing two captive-reared monarchs at the park this a.m., I counted 33 monarchs feeding exclusively on Joe Pye Weed.  A park staffer told me that someone else reported counting 50 at the park.  It was sheer joy to see my 35.   ",,2015-09-03,2015,9,September,36
82416,1441327134,2015-09-03,Monarch Fall Roost,20,42.469,-89.203,gathering in numbers in pine trees and nearby clover field,,2015-09-03,2015,9,September,36
82426,1441331868,2015-09-03,Monarch Fall Roost,50,41.933,-88.296,About half a dozen small clusters of 5-8 monarchs as well as numerous individuals scattered on the east side of a medium size tree at Corron Farm,,2015-09-03,2015,9,September,36
82430,1441333445,2015-09-03,Monarch PEAK Migration,30,44.954,-93.431,"Near walking paths at Nine Mile Creek saw 30+ monarchs feeding on a pink wild flower. It is not a blazingstar. Afterward, saw about 12 in my yard on Rough Blazingstar and Rudbekia.  ",,2015-09-03,2015,9,September,36
82436,1441343075,2015-09-02,Monarch Fall Roost,20,44.366,-89.339,roosting in a hybrid poplar which is surrounded by an unmanaged field. They were present again the next evening but not observed tonight.,,2015-09-02,2015,9,September,36
82528,1441389711,2015-09-04,Monarch PEAK Migration,40,43.998,-86.44,More than 40 sighted in 15 minutes!<p>It was around 2:30 in the afternoon - kind of overcast day. There were so many in a brief span of time that I decided to start counting. over 40 in 15 minutes. Butterflies were just flying by -a few stopped and were nectaring at my front flower garden where i have hyssop plants but most were just floating on by. The wind was about 6 mph out of the Northeast. I live directly on the coast of Lake Michigan so we often see them transiting this time of year. <p>Certainly were a lot yesterday (9/4). More today (9/5) but not as noticeable or numerous as yesterday. ,,2015-09-04,2015,9,September,36
82534,1441391973,2015-08-31,Monarch Fall Roost,350,43.804,-93.828,"Total is just a guess.  They have been here 4 days ( nights of 8/31-9/3), number growing with south wind.  Photo at 1 PM CDT, and is a portion of the trees involved, many monarchs are actively feeding in a meadow a short distance away.<p>Sept. 9: Mostly gone now",https://journeynorth.org/jnorth/images/userfiles2015/09/1441391973.jpg,2015-08-31,2015,8,August,36
82541,1441393900,2015-09-01,Monarch Fall Roost,50,45.76,-92.686,"A pre-dusk walk (9/2) down a country lane with hayfield on one side and mixed forest on other side. My dog was walking ahead of me and as it passed trees, disturbed monarch butterflies would fly out and away from their tree perches. About 10-15 at a time. I lost count, there were so many! I've never experienced anything like this before. The same walk the following evenings yielded no sightings of monarchs. <p>Editor's note: We've re-dated this report from 9/02 to 9/01, the night the roost formed.",,2015-09-01,2015,9,September,36
82595,1441413199,2015-09-04,Monarch Fall Roost,30,44.911,-93.887,Starting to roost around 7pm in the trees in the backyard. Counted about 30.,,2015-09-04,2015,9,September,36
82602,1441414515,2015-09-04,Monarch Fall Roost,150,41.513,-83.58,"Been seeing more in our woods every evening for the past week. <p>We first started to see groups of Monarchs weekend of Aug 29th. Started with only maybe a dozen or so. I have been walking our woods every evening about 7:00-7:30 and have noticed more every day. The photo I submitted is from Sept 1st. Sept 4th we have larger goupings. I would guessimate 100 to 150 roosting in the trees. <p>Weather had been hot and humid here for past week. Mild winds from west/southwest. This morning we are having storms and some heavy rains. Will be walking later to see if the monarchs are still here.We have about 4 acres of woods on our farm, nothing special that I am aware of. Lots of shrub trees with berries. It is protected from the winds in the center where we have been seeing them.<p>I will keep posting as long as we have our special visitors!",https://journeynorth.org/jnorth/images/userfiles2015/09/1441414515.jpg,2015-09-04,2015,9,September,36
82606,1441416955,2015-09-04,Monarch Fall Roost,40,43.086,-91.423,Have tagged 88 monarchs in and around the Butterfly Garden since August 22nd.  Most have been caught around the trees they are using to roost in.  The roosts this year are low in the trees and near the ravine. The others were caught nectaring in the cup plants.  4 previously tagged monarchs have been caught.  All have our tags from the past 4 days.,https://journeynorth.org/jnorth/images/userfiles2015/09/1441416955.jpg,2015-09-04,2015,9,September,36
82650,1441468610,2015-09-03,Monarch Fall Roost,50,44.593,-93.749,"We first notice small groups of 2s or 3s seem to swarm together and then roost on our silver maple trees.  The sky seems to swirl with them.  Last night there was probably 50 to 100 of them.<p>Editor's note: We've re-dated this report from 9/04 to 9/03, the night the roost formed.",https://journeynorth.org/jnorth/images/userfiles2015/09/1441468610.jpg,2015-09-03,2015,9,September,36
82664,1441474685,2015-08-30,Monarch PEAK Migration,30,44.986,-93.27,"Thirty or more monarchs nectaring on Joe Pye weed,  Rudbeckia, and coneflower.  ",https://journeynorth.org/jnorth/images/userfiles2015/09/1441474685.jpg,2015-08-30,2015,8,August,35
82680,1441481469,2015-09-05,Monarch Fall Roost,50,45.542,-96.056,"We were visiting family out at Lake Hattie near Alberta, Minnesota. I was delighted to see many monarch's roosting in a secluded area of trees. We estimated 50-60 in a 10 ft area. This was around 1 pm central time. It was a sight to behold. :)",https://journeynorth.org/jnorth/images/userfiles2015/09/1441481469.jpg,2015-09-05,2015,9,September,36
82714,1441496621,2015-09-04,Monarch Fall Roost,80,46.709,-96.335,"I was happy to see a good number of Monarchs still around the farm, we reported the first fall roost 20 days ago. About 50 were around the building site and they settled in small roosts of 6 to 8 Monarchs. Another 30 were on one of our prairie remnants feeding mainly on Stiff goldenrod and they remained overnight.",https://journeynorth.org/jnorth/images/userfiles2015/09/1441496621.jpg,2015-09-04,2015,9,September,36
82718,1441497869,2015-09-05,Monarch Fall Roost,500,41.513,-83.58,Heavy rain this morning (9/5). Hot and humid this afternoon. Butterflies more active late afternoon early evening. 7:30 pm they seem to gather in groups in trees. They gravitate to the trees with some brown on the leaves to blend in better.guessimate about 500 roosting tonight (9/5),https://journeynorth.org/jnorth/images/userfiles2015/09/1441497869.jpg,2015-09-05,2015,9,September,36
82737,1441505840,2015-09-05,Monarch Fall Roost,20,44.953,-92.46,Around 20 or more monarchs in a river birch tree plus several nearby Ina dogwood. Hard to catch a picture of all of them!,https://journeynorth.org/jnorth/images/userfiles2015/09/1441505840.jpg,2015-09-05,2015,9,September,36
